tipo_flor,peso_kg,valor_soles,stock_flor_1,stock_flor_2,stock_flor_3,stock_flor_4,stock_flor_5,stock_flor_6,stock_flor_7,stock_flor_8,stock_flor_9,stock_flor_10,stock_flor_11,stock_flor_12,stock_flor_13,stock_flor_14,stock_flor_15,stock_flor_16,stock_flor_17,stock_flor_18,stock_flor_19,stock_flor_20
Rosas,0.3,35,74,43,41,97,72,34,52,56,34,91,94,105,120,32,39,38,67,37,59,114
Lirios,0.4,45,67,33,52,51,59,54,54,32,66,73,25,39,78,39,34,20,40,45,65,24
Tulipanes,0.25,30,113,88,51,102,94,41,37,93,111,56,34,120,71,78,38,50,44,47,44,84
Orquídeas,0.35,50,42,20,78,55,39,40,39,79,77,77,64,80,35,65,57,57,36,74,51,37
Girasoles,0.5,25,182,110,118,162,88,181,71,167,137,180,196,111,76,196,69,73,76,117,164,157
Claveles,0.2,20,71,70,172,95,143,77,129,83,94,190,57,170,79,119,67,174,179,196,164,186
Margaritas,0.22,18,135,102,96,139,65,57,96,53,116,57,123,185,106,166,188,52,101,81,137,57
Violetas,0.18,22,144,140,89,149,131,111,96,121,114,118,200,82,94,125,173,196,113,155,163,168
Azucenas,0.38,40,21,38,26,34,68,25,78,68,78,53,38,62,28,45,70,29,75,30,52,67
Gardenias,0.3,42,80,63,33,78,64,23,45,32,63,75,48,43,69,24,47,73,45,31,20,58
Jazmines,0.25,28,198,191,155,184,166,116,174,177,144,142,122,175,99,119,56,157,64,154,143,173
Hortensias,0.45,38,78,113,58,89,66,60,62,50,112,98,81,103,99,120,97,31,36,92,63,61
Peonías,0.35,48,36,41,30,54,40,76,55,33,80,74,22,23,57,71,67,40,36,79,74,70
